[0.58] 对面这个队伍有沙暴
[1.94] 而且还有广防
[3.44] 而且还有啥呢
[5.04] 一个抗两抗三抗四抗
[6.82] 五个抗火的
[8.14] 你说喷的动吗
[10.09] 喷不喷得动
[11.19] 那不都得喷吗
[14.07] 啊鬼剑是吧
[17.51] 哎呀你打得过
[18.35] 你有巨人吗
[19.45] 好像打得过啊
[31.82] 他没有什么机长
[32.9] 有的烟火系有机长
[35.46] 哎呀
[35.86] 这个恐怕不带喷得动啊
[49.42] 走一波试一下吧
[51.7] 玩最值选谁
[55.79] 算了这个煤炭龟的贯穿性相当的差呀
[59.71] 不是差
[60.11] 是相当差了
[60.95] 哪有这么这个你都抗这么多抗火
[74.86] 上来先上两个
[75.94] 这个这个还有什么了不起的
[82.36] 负责了好胜
[107.28] 感突击背心
[108.32] 内田真理送的激昂冷锅费
[109.96] 超级狠辣椒队咋玩
[111.2] 那你去看看他的视频咋玩吧
[113.12] 我又不玩超级狠辣椒啊
[115.99] 班戈拉斯走
[116.63] 他觉得我开空间是吧
[118.79] 接上电后
[119.47] C练后C没关系
[123.34] 就你不要直接开空间
[125.54] 打你开空间
[126.06] 你打得了对面四个马呃
[128.28] 这个不一定啊
[129.12] 我是先打一波
[130.26] 然后再开空间
[131.36] 这样好一点
[132.08] 不然空间根本不够用啊
[138.58] 呜呜呜走一波伤害非常的差啊
[143.28] 我的天这耐久太高了
[144.52] 主要是对面这水
[160.58] 戏法空间
[164.26] 愤怒门牙
[168.38] 好击掌拍住没问题都没有问题啊
[170.74] 我说这些都没有问题
[173.22] 撒咚咚咚
[176.52] 哎呦没关系
[179.81] 哎呀生命水滴可以的
[182.41] 你是会玩的啊
[188.28] 你看厌世
[189.28] 他这个耐久非常的硬啊
[191.1] 打不动
[197.12] 我们后排是这两只
[201] 我说鼠鼠快遭不住了呀
[202.48] 鼠鼠
[222.6] 不便支持鬼斯通送的66个粉丝通行证
[227.4] 这里送了感谢那个废物送的20个小月粮
[231.91] 乌炸弹
[232.55] 没问题
[233.35] 伤害很高
[234.31] 非常好
[234.95] 这边死了
[235.87] 你这水点了
[236.75] 我
[247.92] 打了一波
[248.7] 但是也没打出个什么伤害啊
[250.2] 说实话
[251.06] 但是我这位可是要不跟你开玩笑了啊
[253.82] 我说实话
[255.79] 你今天可要凿了
[258.03] 怎么凿了出来吧
[260.27] 你有巨人
[269.12] 哎我应该玩无防守的嘞
[273.96] 铁拳的
[277.3] 先念了他
[279.62] 然后再推猛扑啊
[286.48] 直接干啊
[289.76] 你有巨人攻击力摆在这里
[291.54] 那马嘎是因为马格拉三轮不马嘎
[293.4] 你有巨人的
[304.86] 艳后C应该是没有保护的
[307.179] 好牛
[308.019] 我去直接一拳伤害爆炸
[310.339] 看到没有
[310.659] 直接哎呦
[311.139] 差一点点可惜了呀
[312.259] 只能说啊120威力本系啊
[315.1] 对面热水一下
[316.22] 这个美纳斯还没死啊
[321.38] 哎给我点燃
[322.9] 烧死了
[326] 那我把这个艳后C干了
[327.4] 艳后C4了一块妖姬
[328.48] 没办法
[329.1] 必须得点他
[330.42] 这个我没加速度
[331.88] 这个美纳斯还比我快吗
[334.45] 刚才看到他不是我先动
[335.97] 他先动吗
[337.02] 你怎么算的
[337.94] 他砸死了也没关系啊
[338.94] 我也烧死了
[339.54] 可惜了啊
[340.24] 我只能说可惜
[341.22] 烧死了
[341.8] 不要慌
[342.54] 你又怎么不要慌
[343.58] 嘿我后面还有打手黄小虎嘞
[345.83] 烧死烧死呗
[347.07] 不要命了
[349.14] 我沙暴是不会砸到我的呀
[351.88] 那接下来是咆哮虎啊
[353.22] 我不是跟你在这开玩笑的啊
[354.94] 你是要砸班格拉斯是吧
[356.38] 你班戈拉要凿啊
[357.46] 我班戈拉怎么凿
[358.68] 你看他怎么凿
[363.58] 好三头龙就不用说了啊
[365.34] 一个高音吼死
[366.44] 然后近战直接锤他跑
[367.86] 锤他那个班格拉斯
[370.24] 那三头龙就直接死亡啊
[372.12] 高音近战我跟你开玩笑呢啊班戈拉斯
[384.18] 他有地龙吗
[385.1] 你地龙来也是秒杀鬼
[387.82] 进来就冲他一下
[390.16] 好班戈老师怂一下
[391.32] 他觉得有点危险
[392.46] 那三头龙不就死了吗
[395.08] 好俩都有保护啊
[396.08] 没毛病没问题
[399.31] 还是马克班格拉斯的
[400.51] 注意一下
[400.97] 他要等沙暴停了后再开一轮沙暴
[403.03] 这班格拉斯二次抢天气很烦
[408.8] 但是我们极限物攻啊
[410.98] 四位克制近战
[411.96] 你看他要在二次抢天气吗
[413.78] 我估计你接不了啊
[415.42] 首先是三头龙秒杀
[417.23] 这边近战比较大
[420.11] 你说是不是个走起啊
[428.9] 这一方能进王
[429.82] 这两方八送的教呢
[430.74] 为啥梅拉斯比帝王拿波热门
[432.38] 梅拉斯一直比帝王拿波热门
[436.98] 维纳斯可不弱
[438.14] 近战了
[440.09] 而且耐久更高啊
[442.69] 来试他二次抢天气啊
[443.97] 就这个意思
[445.09] 速度应该比我们快啊
[448.06] 我直接近战480威力
[451.27] 他说你看到没有
[452.19] 直接秒杀
[452.63] 对不对
[452.99] 他说我这防御我力度这么猛啊
[454.63] 我都带近战了
[455.59] 你说我力度猛不猛
[456.79] 我要力度不猛
[457.67] 我带近战干啥呀
[460.689] 白色的恢复能力
[462.849] 我就是小小小扭拉啊
[466.57] 高一嗓子白白四微弱的俩四倍
[468.93] 弱的
[476.96] 唉这空间还没用完还可以啊
[479.22] 空间还没用完
[480.6] 还有什么好的空间打手
[482.32] 要是有月月熊当然就好了
[483.68] 可惜没有月月熊啊
[494.78] 要换就把你有巨人换了
