[0.04] 大家好
[0.44] 今天为大家带来密尔沃基阿赛的比赛解说啊
[2.72] 他是从第二轮开始的
[4.2] 那就没有第一轮了
[5.4] 我方是保罗处啊
[6.88] 他这边用的是一个平衡的队伍啊
[10.06] 长毛巨魔开墙啊
[11.22] 然后有蝶舞啥的
[12.26] 强化的比较平衡
[13.14] 队伍对面是围攻鼠鼠还是经典围攻鼠鼠啊
[15.62] 能不能阻止啊
[17.6] 好像不太好阻止啊
[18.72] 你只能开墙啊是吧
[20.28] 他是主要是长毛巨魔开墙嘛
[22.2] 那这个给猴哥上个电磁波吧
[25.04] 看一下长毛巨魔灌浆反射壁
[27.16] 灵魂冲击电磁波嘛
[28.08] 你长毛巨魔就是开墙的
[29.6] 然后火生虫就是哦魂虫不叠舞啊
[32.62] 顺风愤怒粉重置抵抗热风呃
[36.51] 赛博豪眼镜淘金潮
[38.71] 暗影球戏法力量宝石
[40.45] 他没有强化的哈哈
[41.89] 搞了半天
[42.51] 他不强化眼镜的赛富豪生命宝座
[45.739] 好月熊高音大得利
[46.939] 血液保护快龙畸变骰子鳞射黑雾
[49.599] 顺丰保护乔龙背心流星群
[52.26] 钢炮儿大声咆哮扑击
[54.11] 他没带什么
[55.15] 他没带电光束
[56.63] 他说我都不是雨天
[59.03] 我带什么电光束
[60.11] 那你可以蹭别人雨天呐
[61.76] 他就带两个本系技能加单身咆哮加扑击啊
[64.94] 单走一个桥龙是吧
[66.83] 单走一个桥龙
[67.53] 桥龙可以来骗啊
[68.81] 比如说你那种这个这个打几下的林社啥的
[72.92] 他可以来骗一骗
[73.78] 是不是啊
[74.2] 乔龙这么一个平衡队啊
[75.48] 主要还是长毛巨魔开墙开墙了
[77.81] 然后有顺风的火神虫
[79.25] 大概就这样啊
[80.29] 豪月熊呢算是一个输出火力
[81.97] 还有赛富豪啊
[82.65] 这都是输出还是比较高啊
[85.38] 看克斯周汉这边是猴哥保护戏戏权分主权
[90.1] 健美文佑虎啊
[91.42] 这这猴哥都是这样的
[92.54] 鼠鼠腰带愤怒门牙
[94.22] 看我妈围攻保护太经鬼
[96.02] 快龙畸变骰子保护黑雾
[97.74] 顺风离射
[98.38] 你看全是这种啊
[99.539] 全是黑雾快龙
[100.619] 这次儿霸都都玩不了啊
[103.339] 塞富孩儿淘金槽
[104.539] 暗影球轨迹保护红绿眼睛起种子机
[108.13] 长性的滑梯
[108.73] 木锤12马力
[109.71] 郝英雄背心大得利
[111.41] 高音雪月那突击背心不带保护啊
[114.57] 所以最后一个技能换成真空波这个先制技能
[117.85] 而且这个技能可以打到赛富豪啊
[119.73] 真空波威力40嗯
[121.97] 有没有这种技术高手真空波的嗯
[124.19] 技术高手有真空波
[125.41] 但是他都是物攻手啊
[126.87] 这个特攻手格斗系的还是比较少见的
[129.69] 之所以打真空波啊
[131.09] 你要么就火鸡
[132.41] 火鸡他也是走物攻嘛
[134.09] 近战三冲锋
[135.19] 因为物如果你真是格斗系
[137.41] 那格斗系他都有物理技能威力高啊
[139.29] 120威力近战
[140.05] 那为啥我要走特攻呢
[141.29] 所以这个特工的格斗系本身就是一种矛盾
[143.91] 这样我不能说没有
[145.07] 只能说少是不是少
[146.26] 如果卢卡利欧非要打布尔弹
[147.7] 那你打布尔蛋就行了
[148.78] 我没说不可以打
[149.7] 就是格斗系
[150.5] 它本身是一种矛盾啊
[151.74] 你格斗系都有120威力近战吧
[153.85] 是不是啊
[154.75] 那不都走物攻啊
[155.85] 哦你说某个人他没有120威力进展
[157.85] 你说谁没有啊
[158.57] 我就不点名了
[159.33] 我刚才突然想起他的名字了
[161.47] 我就不点他的名字了啊
[163.15] 毕竟我是他的粉丝
[164.27] 我点他名字也不太好意思啊
[167.17] 官方给的衣服让他自己遮挡一下是吧啊
[170.13] 对这个衣服就什么都没有
[172.09] 如果他里面穿件啥衣服的话
[173.61] 让他遮挡一下吗
[174.45] 这个意思好
[175.76] 对面上快龙和郝月熊
[177.68] 我方则是长毛巨魔好月熊
[179.26] 那我方这个队伍
[180.32] 你一看就觉得他的长毛巨魔
[181.96] 基本上都要上首发啊
[183.329] 因为他就是长毛巨魔
[184.769] 开墙嘛
[185.469] 开了墙以后
[186.329] 好月熊硬打嗯
[187.529] 大概这样
[187.969] 这是个中文的好英雄啊
[189.579] 那长毛巨魔开吗
[191.259] 这边的话
[193.819] 对面是背心
[194.779] 好英雄
[195.059] 你一个都打不死
[196.339] 高音吼破鳞片
[197.739] 然后压个血线
[198.379] 就这样
[199.159] 对不对
[202.46] 长毛巨魔开过墙反射壁啊
[204.48] 嗯对面物攻特攻都有
[206.58] 你说开啥哦
[209.02] 他不开啊
[211.75] 他先不开啊
[212.95] 那不开
[213.55] 对面要集火
[214.19] 长毛巨魔
[214.71] 你可以找了
[215.19] 还保护骗一手
[215.91] 你是不是要集火
[216.47] 我
[218.92] 电磁波好
[219.76] 先给快龙上个电磁波
[220.72] 我先不开抢啊
[221.7] 先不开抢
[223.86] 那快龙麻痹了
[228.54] 雪月
[234.94] 哎快龙马还不能动
[236.2] 快龙他只有零射啊
[237.74] 零射的话是打不到长毛巨魔的
[239.62] 说起来也是哦
[241.3] 还不开枪这么猛
[244.76] 嘴吼高音了
[245.64] 还不开枪啊
[246.24] 你你真不开枪
