[0.34] 大家好
[0.82] 我是AG
[1.54] 今天我们来玩一个简简单单的顺风队有多简单
[5.55] 首发金光花和风妖精
[7.85] 后排一只马嘎加一尾玄鱼
[10.15] 就这么简单
[11.52] 队伍租用马在这上面有啊
[13.4] 努力值
[14.16] 金光花二加满特攻和速度
[16.1] 风妖精拉耐久
[18.16] 然后怀帝也是加特攻速度
[20.6] 喷火龙也是努力值都非常简单
[23.6] 那因为悬鱼拉满物攻和速度
[26.59] 然后一个地龙
[27.71] 这个地龙是反空间用的
[29.55] 比如对面有770
[30.77] 这有个技能龙尾可以把对面弹下去
[32.95] 是不是啊啊
[33.79] 就这样
[34.37] 平时我们就简简单单顺风打就行了啊
[36.65] 那我们再去排就可以了
[38.83] 哎都猪马都要最上面啊
[41.23] 最上面
[47.94] 他现在又从精灵球开始了
[50.02] 哎
[52.32] 这个啊你精灵球开始
[57.19] 这打的就打到大师还要一定时间呢
[60.19] 所以的话用这种简简单单顺风队是最好的
[63.35] 因为打的非常快嘛
[64.96] 你看2分钟能不能打一把
[66.68] 我看差不多对面什么队啊
[71.14] 漂浮泡泡
[72.36] 我说实话我玩了10年
[74.73] 我还从来没见过有人玩飘飘泡的啊
[76.71] 这飘飘炮是干啥的
[78.13] 原来这个象球啊
[79.37] 就是飘飘泡的技能
[80.59] 后面呢你一看game fg
[82.54] 一看这个漂泡泡根本没人玩
[84.06] 那都都都象牛
[85.02] 这个技能不就没有用武之地了吗
[87.18] 于是就把他下放给只要是个人呐
[89.73] 大家都会啊
[90.47] 这样的
[91.09] 那我们不管怎么说啊
[92.51] 就首发这两个
[93.51] 他看上去应该不是空间对吧
[95.38] 还有个KA呀
[96.56] KA的话
[97.42] 你能干啥
[98.02] KA啥也干不了啊
[99.08] 他这边都是特攻手
[100.5] 我们开顺风直接干了
[101.78] 后面又为玄鱼
[102.54] 最后只大家说上喷还是金光花哦
[105.1] 他也有喷的
[105.62] 那你有喷我有喷
[106.42] 那我上喷呢没毛病啊
[108.309] 没毛病
[109.109] 那我们就上喷就得嘞
[111.76] 口感的话能干啥哦
[112.96] 他马嘎扣嘎呀
[114.16] 或者马克艾雷朵或者马嘎喷火龙啊
[116.26] 那个艾雷朵应该是围巾啊
[118.72] 暗雷斗经常是围巾的
[120.24] 可以他配合他的这个剑马威力比较高
[126.9] 啊牛蛙钢炮
[130.08] 钢炮臂虾
[134.14] 简简单单杀龙虾
[139.02] 啊顺风这边我们能量球直接去杀这个龙虾啊
[145.36] 龙虾的话他有治愈波动
[146.96] 水质波动
[147.48] 哎呀也是比较拉呀
[148.44] 这力度
[156.94] 看他干啥
[158.14] 他后面的话是不是又是喷火龙和QA呀
[161.089] 扣嘎他不会是马嘎扣嘎吧
[163.869] 马扣A还挺快的
[165.089] 马嘎扣嘎
[169.54] 钢炮陛下
[170.38] 人称小水箭龟
[171.94] 那为啥你不玩水箭龟呢
[174.09] 水晶龟占马格位嘛
[175.77] 这龙虾不占
[177.37] 等会喷火龙
[178.37] 把这个龙虾给烤了
[179.71] 它本来是蓝色的
[180.65] 你把它烤了以后就变成红色的了
[182.43] 那直接出门开
[183.33] 干的也不说啥了
[188.36] 好能量球打多少
[190.92] 非本系的打不死
[195.54] 对面水之波动
[196.58] 那我们70皮带打可以顶得住
[200.86] 牛蛙嘞
[207.46] 啊贝壳之灵哎这个精灵球技咱们打快点啊
[210.62] 大哥你操作也快点行不行啊
[212.22] 达德利双点可以啊
[213.91] 双点金光花那喷火龙一上直接热风
[217.11] 加上这个再来一次吧
[219.33] 再来一次这个牛蛙啊
[220.39] 牛蛙他要下去了
[221.15] 再来一次啥啊
[221.83] 再来一次扫墓呢
[224.85] 有没有必要啊
[227.17] 可以啊
[227.61] 扫墓直接给他扫穿了啊
[228.85] 也是啊
[233.26] 喷火龙吧
[233.98] 咱们打快点打快点这种这种分段
[235.9] 你还读个啥啊
[236.9] 直接上去
[237.38] 马上开干了
[238.14] 是不是他后面那个直接热风给他干了就行了
[241.19] 呃这边月亮之力啊
[243.17] 打右边这边直接热风走起
[246.38] 是不是啊
[247.1] 他他这个这个牛蛙下去吗
[250.54] 赶紧的
[261.2] 输入型牛蛙嘞
[262.46] 象球大地力啥的
[263.64] 那刘蛙要下去啊
[266.29] 当然牛蛙也可以不下去
[267.67] 为什么他用火系气球打风妖精
[269.69] 可不可以可以啊
[270.37] 我真真是这样啊
[271.57] 然后他后面也是满了外喷不
[273.73] 那我下去干啥
[275.82] 我后面也有歪喷啊
[277.7] 反正我们后面有一位玄鱼啊
[279.18] 不怕他啊
[281.26] 这里开晴天
[283.47] 月亮之力加上热F碰一下伤害怎么样
[287.7] 伤害不高
[288.64] 妖精之羽的伤害其实还是可以的
[290.9] 热敷啊
[293.53] 钢炮必下就死了
[295.73] 留外的话
[296.21] 你打不动就不管了
[298.57] 他应该要走
[299.41] 但他没走的话就算了
[300.95] 他火系降球哦
[302.49] 没有啊
[302.77] 冰冻光束
[307.44] 三公牛蛙吗
[309.84] 晴天下是不会冰冻的
[310.92] 不用管他
[313.52] 我们点快一点
[314.76] 因为这个队打的确实比较快
[316.78] 就是金光花
[317.7] 先撒个毒
[318.26] 飞翔剑开顺风
[318.98] 后面两个打手
[319.72] 尤其是围巾又一圈鱼
[320.96] 如果他有钢兵的话
[321.98] 那喷火龙比较压制他啊
[324.77] 奴隶之内都看到都是加这个真意
[326.77] 飘泡泡
[327.39] 他变成火系飘泡泡
[328.73] 可以啊
[329.13] 飘泡泡
[331.06] 这世上真有人玩飘炮
[332.5] 那飘炮他能干啥呢
[334.06] 飘飘跑他能干啥
[337.59] 我也不知道
[338.55] 月亮之力加上继续热敷空气之刃
[344.19] 他死不死啊
[345.13] 唉算了
[345.83] 继续热风吧
[346.57] 因为牛蛙要么死
[347.71] 要么他就换人了
[348.95] 他后面万一是KA的话
[350.31] 月亮之力当场把KA杀了
[353.96] 飘飘跑在晴天就是晴天
[355.56] 兄弟在雨天就是雨天
[356.72] 兄弟扶阳镜送给你就行了
[358.8] 等会扫墓吧
[364.26] 有雨天也没关系啊
[365.46] 你他刘蛙下去
[366.22] 然后杀了风妖精
[367.1] 这样的话永远都是雨天了
[368.48] 我扫个墓
[369.1] 他不就死了吗
[370.12] 你还管他雨天不雨天
[374.8] 我们没有带气象球啊
[376.18] 带的是空气之刃
[381.98] 好月亮之力打
[383.04] 然后加个热风
[386.62] 诶打死了哇
[387.659] 这个妖精之羽哦
[388.739] 原来精要害了
[389.419] 我感觉妖精之羽也不够啊
[390.779] 因为风妖精并没有加特攻啊
[392.599] 只是配合妖精之羽1.2倍的妖精力度
[395.139] 那热风伤害如何
[397.32] 我去这飘炮太脆了吧
[398.92] 这打的快打死了
[399.92] 给他他种族多少啊
[401.8] 对面热水
[403.38] 这是人机吗啊
[405.26] 这可能是人机
[406.02] 但是他是人机
[406.7] 不太可能人机他怎么会带热水呢
[409.46] 看最后这场剩饭票跑跑赶快点赶快点
[411.94] 我就说打快一点啊
[417.54] 咱们这个队就是2分钟一把
[419.22] 但是对面操作太慢了哦
[421.32] 对面果然是喷火龙玩的还不错啊
[422.94] 那我们扫墓就完事了
[424.02] 这个不用担心了
[425.22] 哎这里我们有顺风吧
[426.78] 月亮之力加热风
[430.48] 完事
[431.24] 等会一会全员上来扫个墓
[432.68] 完事啊
[433.16] 简简单单
[433.86] 你杀了风妖精
[434.68] 我扫墓威力就150呃
[435.96] 100就150啊
[438.93] 胜利300
[443.16] 好他也是外喷的
[445.6] 刚才不想换上来
[446.52] 直接吃伤害
[450.42] 歪喷打的就是最快的啊
[452.34] 确实是非常快的
[454.4] 以前打那个对战塔的时候对战术啊
[457.54] 究极日月的那个对战术是不是也推荐外喷队啊
[460.4] 那外喷打个50连胜啥的
[462.2] 非常的快
[463.11] 那我们先热讽
[465.31] 那飘飘就死了
[466.39] 你这边随便杀呀
[467.59] 反正后面都是扫墓啊
[468.79] 一扫一个
[473.78] 对面也热讽
[475.9] 那弗兰尼又死
[478.29] 这个气象球的话能打喷火龙过半
[480.49] 我们这个完全没加耐久
[482.15] 你说的这接不了岩崩
[483.51] 也没打算接岩崩啊
[484.81] 还接什么岩崩啊
[485.83] 接岩崩
[486.35] 我方的顺丰停止了
[487.77] 但是又有悬疑围巾扫墓啊
[489.53] 这一扫完事了
[490.37] 就这么快
[492.34] 所以就简简单单的顺风打
[494.04] 没有比这个操作更简单的啊
[497.669] 这个是上赛季前十几的队伍啊
[502.769] 非常的快
[503.529] 简简单单
[505.64] 这个地龙带了个龙尾
[507.94] 有点危险呐
[508.8] 龙尾你要开空间啥的
[509.96] 我这这坑啊
[510.94] 你觉得地龙又打不死你
[512.32] 但地龙龙尾就不弹下去了吗
[514.059] 这种强化的就非常的难受啊
[516.499] 强化半天一个龙尾给弹下去
[518.219] 这个技能还是比较阴间的
[520.319] 但是一般看到通常队伍就不选地龙啊
[522.639] 地龙主要是来干这个事情的
[528.72] 好加的很快快快快快很快啊
[531.359] 很快啊
[532.559] 我们直接就点A
[533.759] 然后就哎我手里没电了吗
[535.279] 有电了
[536.219] 又是老问题啊
[537.319] 你看不知道为啥点不了
[539.52] 你看到没有
[540.4] 突然间点不了
[541.32] 我就是一路点A对不对
[542.58] 我就一直按A键就行了嘛
[544.12] 就是一直排
[544.88] 但是他又是那个bug还没修复
[546.52] 就是莫名其妙你点不了按键
[548.4] 你可能有时候也遇到啊
