[0.9] 大家好
[1.46] 今天为大家带来2026赛季
[3.76] 法兰克福阿赛的比赛解说啊
[5.68] 2026年的比赛开始了
[7.439] 那么现在是9月份
[9.279] 它采用的规则是哎
[11.179] 以前那个规则H残奥会就是大纽拉月月熊呃
[15.639] 这个赛文孩儿啊玩的是这些啊
[18.73] 不能使用任何传说
[20.57] 宝可梦啊
[21.73] 这一发也不行
[22.9] 然后贝缪当然也不可以用啊
[24.6] 然后呢库肩炮也不行
[25.9] 一级神就更不用说了啊
[27.36] 所以就是大牛拉那几个来打这个规则呢
[30.42] 打三个月到到明年的1月份嘛
[33.35] 然后规则手册上写了
[35.75] 因为下一个规则打到千品发售
[39.93] 也就是说CHA品大概在明年23月份发售
[43.84] 因为这个规则完了还要再打一个规则
[46.06] 然后就是玩CHAMPI了
[47.36] CHA品什么马嘎子全国普双啊
[50.17] 马嘎全国补双
[50.89] 第一个赛季也说了是吧
[52.23] 那可可以用马嘎产品上也说了嘛
[54.77] 第一个赛季可以用马嘎
[55.91] 所以的话
[56.61] 那么你可以大概预测champion的发售日
[60.04] 应该是2026年上半年
[62.39] 大约是23月份
[63.71] 我说大约啊啊
[64.99] 因为根据他的比赛手册来说的
[67.25] 这个规则完了以后还有再一个规则
[69.35] 那再一个规则完了以后就是champion了
[71.47] 那你想想是不是这样的啊
[73.51] 大概这样的下一个规则是什么呢
[74.87] 不清楚
[75.52] 等官方公布以后
[76.6] 我们现在排位的规则是可以用幻兽啊
[78.76] 那比赛的话是规则H残奥会
[81.36] 他第一来就给到了这个英国知名选手jame boy啊
[85.7] 给给了他这一组
[86.66] 给他个面子啊
[87.6] 因为如果你不给他面子
[88.8] 他就去解说了啊
[89.96] 要么他解说
[90.88] 要么他他自己去玩啊
[92.32] 他也玩一下加密boy界面呢
[94.769] 还是这个老界面啊
[96.329] 看下我方队伍
[97.769] 你看什么队伍
[98.689] 大家一看哎呦
[99.469] 怎么又是这个鼠鼠猴哥
[101.4] 泡酒赛富豪这些的对来回就这些虎心呢
[105.1] 他在这个藏会的作用啊
[107.64] 没有神战那么大啊
[109.14] 咆哮虎击掌拍落闪现冲锋
[111.18] 抛下狠话啊
[112.53] 戴着头盔
[113.17] 钛金鬼
[113.69] 赛文豪淘金潮
[114.89] 暗影球轨迹轨迹保护钛金水剩饭
[117.95] 经典了啊
[118.919] 猴哥太金妖气拳
[120.899] 愤怒之拳呃
[122.39] 健美和保护文佑国
[123.81] 然后鼠鼠围攻啊
[124.91] 鼠鼠围攻
[125.65] 看我妈挑衅
[126.57] 保护防城进鼠鼠
[128.23] 然后班给老死岩崩踢倒
[130.13] 太极爆发和拍落太经飞行啊
[132.33] 你班格拉怎么又来了
[133.53] 风妖精顺风围攻呃
[136.27] 这个挺哎不是蛮干啊
[139.93] 不好意思啊
[140.41] 蛮干和月亮之力这么几个技能
[142.93] 那他杀爆的话
[144.01] 他不把自己腰带给砸了吗
[146.17] 他也是来围攻猴哥的啊
[148.69] 双围攻围攻海瑞哥
[150.85] 那常会的话
[152.11] 那个火力呢就不如神战啊
[155.66] 而且的话这个速度线呢没那么快
[157.78] 因为你没有这一发嘛
[159.12] 你说最快的是谁
[160.1] 你赛不好这种中速的就行了对吧
[163.11] 那最快的是大牛郎啊
[164.75] 那家庭boy
[165.63] 你看他的队伍五花八门啊
[167.17] 这是什么队伍啊
[168.07] 这这这看的我看一下啊
[169.67] 清净最次的参刃鬼毁念剑
[172.82] 近战健美和保护哎
[176.04] 带近战他不带那个什么呀
[177.62] 带他的近战啊
[178.88] 带了近战
[179.4] 太金斗近战这样一个清坠式的暴飞龙
[182.53] 流星群空气砍
[183.79] 顺风保护钛金飞行
[185.17] 然后围巾的一个一位玄鱼冲动扫墓
[188.41] 钛金爆发妖精和快速折返
[190.769] 然后磁铁10万伏特伏特替换钢炮
[193.97] 钛金爆发飞行啊
[195.85] 戴的是讲究眼镜
[197.019] 九尾密探斗篷
[198.199] 暴风雪极光木定身法再来一次
[200.339] 哎呦你这个九尾厉害呀
[201.659] 哼定身法再来一次啊
[203.079] 大扭拉突击背心
[204.43] 近战击掌奇袭深渊
[206.15] 突刺客运爪
[208.66] 他已经饿了啊
[210.16] 你一看加密boy这个队
[212.04] 我说实话我一看就非常难用
[214.26] 我可能说直白一点啊
[216.079] 你说的这个对赌配置
[217.699] 这是乱七八糟都有
[219.179] 啧可能也就他玩得来吧
[221.42] 我一看这个配置头都大了啊
[223.02] 这这这太难玩了是吧
[224.36] 我方这个围攻呢还是挺标准的
[226.38] 歼灭boy这种的就是哎呀
[228.429] 一眼就是很复杂
[229.969] 这什么乱七八糟都来啊
[231.749] 配的都是这些啊
[232.929] 那看一下加密boy
[233.949] 他要怎么打呀
[234.849] 这个配置你一看就不太好用啊
[237.34] 我说实话啊
[238.1] 我说实话
[241.46] 来看下双方首发
[242.7] 对面是磁铁和一尾悬疑
[244.22] 我方直接围攻鼠鼠开啊
[245.7] 走起
[247.69] 你看这环境的话
[248.77] 速度线就不高
[249.77] 所以赛弗尔这样就可以
[251.13] 赛普尔有什么错
[252.05] 赛博二没有错
[252.89] 关键是你像赛博尔这样的
[255.25] 你遇到这种高速的
[257.03] 这雷冠王人家啥的不比你快很多啊
[259.84] 输出的话
[260.88] 那赛普尔就是人称小雷冠王啊
[263] 我淘金槽也是威力120
[265.34] 但是人家雷冠王打完心碎加特攻
[267.68] 你打完淘金潮减特攻
[269.4] 然后雷冠王速度150
