[0.42] 大家好
[0.94] 今天开始我们说宝可梦冠军里面的热门宝可梦
[5.16] 第一个说的就是永恒花叶蒂吧
[8.4] 啊玛嘎永恒花叶蒂
[10.62] 因为她是这个游戏里面
[13.16] 唯一一个新增的宝可梦啊
[16.699] 之前这个没有解禁过啊
[18.259] 这永恒花叶蒂没有解禁过其他的老宝可梦
[20.579] 只是他们获得了新的马达
[21.819] 而永恩怀帝从来没有解禁过
[24.93] 它的使用率啊
[26.47] 比较的高
[28.899] 非常热门
[29.979] 一开始第一天
[31.139] 第二天的时候还不高
[32.719] 可能是没有
[34.08] 现在呢你看他都在前十左右啊
[36.66] 第十位左右
[38.02] 当然现在还是包括我们冠军的早期啊
[41.67] 他环境比较乱
[42.81] 数据波动呢也比较大
[44.41] 尤其是后面那些一会可能还让他上升几名
[47.27] 下降几名也很正常
[50.47] 不过这个花帝啊是目前排在第二的马嘎
[55.03] 宝可梦D谁啊啊
[57.39] 第一是歪喷呐
[58.87] 你看这前面还有啥有马嘎呀
[61.07] 有本还有地龙吗
[62.31] 地龙才是第一马嘎
[63.98] 不好意思
[64.7] 地龙他不是第一马达啊
[66.25] 地龙它都不马嘎了
[67.69] 所以说第二马嘎还是不错
[69.73] 它的规则它是MA这样的
[71.77] 以后MBMC呀
[73.05] 那Z用到Z用完了怎么办
[74.94] 我不知道他这个什么意思啊
[76.38] 就是说这个是用字母来表示
[80.02] 原来都是规则ABCDEFGHIJK嘛
[85.22] 他是这么写的啊
[86.46] 管他怎么写都是一样的啊
[90.4] 然后这游戏里面呢一共有100多个宝可梦啊
[93.8] 就这么写啊
[94.56] 这么写
[94.92] 你再打开游戏
[96.24] 它上面有嘛也显示着的
[98.47] 有些马嘎没有
[99.85] 所以花AD是第二
[101.07] 马嘎不是说他是所有93个马嘎里面的
[103.47] 排在第二的
[104.19] 那当然不是啦啊
[105.7] 这个巨金怪不是暴揍花帝吗
[108.34] 你咋不说呢
[109.02] 但这里面有没有巨金怪呀
[110.3] 你看一下没有没有
[112.1] 一共是100多个
[113.61] 这个宝可梦啊
[116.19] 环境属于残的残奥会
[118.47] 你说我数一下200多个
[120.03] 哎你这注意这南瓜他不是占几个吗
[121.83] 还有洛托姆占几个
[122.83] 你应该算作一个图鉴吧
[124.22] 图鉴来说是100多个图简呐
[126.68] 而且道具也不全
[129.06] 道具呢都带那些道具啊
[131.22] 比较的少
[133.51] 花帝
[134.07] 你看一下哎
[135.35] 这个第六代花店这个位置你看只有永恒花D
[139.07] 没有普通花D
[140.15] 因为这个游戏不包含不仅没进化的啊
[142.39] 没净化的不包含在里面
[143.72] 所以这里有个花姐夫人
[145.14] 然后一个永恒花帝
[146.2] 我们说花地都是这个对吧
[149.24] 我觉得他这次啊他一开始这使用率这么高啊
[153.48] 可能有个原因就是啥嘞
[155.38] 就是说这个宝可梦之前从来没用过
[157.28] 没有出现过嘛
[158.34] 然后这次来了是吧
[160.48] 人气比较高
[161.829] 我觉得这可能是很多人去玩这个荒地的
[164.749] 原因之一
[165.529] 我说之一啊
[166.709] 你说嘞他只能从宝可梦Z里面传过来啊
[170.43] 在这里面才有的嘛
[171.99] 卡池里面抽不到
[173.77] 他是属于普通宝可梦
[176.209] 为啥普通宝可梦
[177.529] 你看这里面的没有
[178.409] 不是普通宝可梦的
[179.249] 没有神兽
[180.22] 是没有神兽
[181.36] 所以他普通宝
[182.34] 可你说他这么特殊
[183.32] 是普通宝可梦
[184.34] 你可以理解为珠子里面那个好月熊
[188.27] 北上香永久森林里面有一只好月熊诶
[191.63] 他是不是普通宝可梦
[192.71] 是你打常规都可以随便用
[195.22] 他只是说它是一种特殊的不能孵蛋的
[198.66] 属于未发现群
[199.92] 就只有这么一只
[201.39] 但是花地是不是二级层
[203.21] 不是二级层
[204.46] 花帝怀帝有这个图简呐
[206.3] 它叫做花叶蒂永恒花形态
[209.24] 我要说他全名是不是应该这么说
[212] 荒野地红色形态
[213.84] 荒野地黄色形态
[215.18] 荒野帝永恒花形态
[216.58] 他只是荒野地一个形态
[218.02] 荒野地他不属于神兽吧
[219.95] 对不对
[220.61] 就那个越穷越穷
[221.59] 是不是神兽越凶
[222.79] 不是神兽吧
[223.66] 这叫越雄好越形态一个意思
[226.56] 所以这个荒地啊
[227.82] 它不是二级神
[229.18] 怎么样都可以用
[230.14] 你随便用这个宝可梦
[231.76] 它没有任何的限制
[232.78] 你随便用能理解吗
[235.09] 是不是啊
[235.83] 就这个意思
[236.49] 你一说好越熊
[237.25] 你就理解了啊
[237.99] 啊这个好月熊就是越熊嘛
[239.37] 他其实就是越凶
[240.39] 只是越熊的一种形态
[241.87] 但是他又不能孵蛋
[243.17] 他就是绝育了那种
[244.93] 所以属于一种特殊的普通宝可梦
[248.01] 我这么说就好理解啊
[249.41] 他不属于二级神
[250.37] 二级神像
[250.89] 五大雄狮恶鬼碰
[251.69] 这些属于啊
[252.29] 但不一样
[255.64] 然后我们说的普通话D的话
[257.28] 总共300多不说啊
[258.24] 我们说的是这个宇文化地
[260.689] 普通花园地300多种族
[262.489] 他永恒花帝
[263.369] 他本身的种族和花姐夫人一样
[265.209] 都是551
[266.169] 但花姐夫人分的不好
[269.31] 云华帝呢分的呢
[270.55] 你说还可以啊
[271.53] 至少说不要的物攻是65种族
[274.7] 然后马嘎以后呢啊这个物攻也加了20点
[278.78] 加的比较平均嘛
[281.18] 不要的物攻加了20点
[283.62] 但是他物防也加了20点了
[286.7] 那个三朵呢三朵六十八六十五
[292.96] 然后马拉135和他比是不是差点
[296.85] 因为沙朵的物防是没有加
[299.01] 他的物防就65
[300.09] 就是65很脆皮
[302.31] 你必须去投入100多点努力值
[305.05] 甚至更多给他加很多物防啊
[307.37] 我们现在说宝可梦冠里面说点数嘛
[309.95] 我们给张罗
[311.33] 假如啊你加20点的物防能力值
[315.289] 那为啥你不在种族上就可以把这20加过去呢
[318.509] 我也不需要投入那么多努力值了呀
[322.04] 下次我要见到game frank的人员了
[325.64] 尤其是增田啥的
[327] 我有一个问题是
[330.4] 谁给萨马拉赛诺加的20点物攻
[333.68] 你能不能告诉我他的名字
[335.36] 他要告诉他干啥
[336.74] 告诉我揍死他
[338.9] 全世界杀都粉丝连了起来啊
[342.94] 把他那个谁的账号给他冲了
[345.1] 把他X正好他敢不敢在X上说山土20点物防
[348.64] 20点物攻是我加的
[349.74] 我刻意扣他20点物防
[351.02] 你敢不敢说
[354.98] 纯恶心
[356.74] 那么这个花D他的物防就比较的不错啊
[359.58] 物防本来也脆
[360.66] 也是60几啊
[361.89] 和上一朵一样
[363.17] 说实话都是脆皮
[364.55] 但是呢你看七十四八十七
[366.89] 尤其特防148不算脆
[370.43] 但你说好不好呢
[371.57] 也不咋滴
[372.71] 因为你是纯妖精系啊
[374.31] 这个种族真不咋地啊
[377.32] 但是一开始朱子哎那个保姆上Z
[380.92] 我也说他这个种子分的呢也就那样
[382.97] 比较的平平无奇不咋地
[384.73] 速度呢也不快
[385.75] 通155呢
[387.94] 那三朵还165
[389.22] 你咋不说呢
[390.1] 所以需要看什么
[391.62] 是不是需要看他特性什么
[393.53] 如果你的特性不能提高输出
[395.77] 那你这个就一般般
[397.13] 真的一般般
[397.95] 速度速度不快
[399.1] 特攻155有什么了不起的
[400.74] 那170的都有水印
[401.74] 能火灵170
[402.3] 你咋不说呢对吧
[404.08] 谁能火灵速度90
[405.34] 尴尬这样尴尬的宝可梦
[407.21] 你可以找到很多水能火灵
[408.81] 什么特性呢啊穿透是不是啊
[410.55] 那没屁用
[411.46] 所以你的特性如果不能加成输出的话
[414.02] 那就没有意义
[415.06] 那他特性不但加成输出
[417.58] 而且加成的还比较的高啊
[420.34] 妖精气场
[421.36] 这和泽尔尼斯一样啊
[424.52] 所以那个暗黑气上的伊佩尔塔尔
[426.92] 对应的人是谁啊
[427.94] 有人说是达克莱伊
[429.3] 有人说是这个
[430.48] 我说是冠希啊
[432.06] 你普通吧
[433.18] 达克莱伊他是属于啥达克莱伊属于这个幻兽啊
[436.86] 对不对
[437.68] 诶
[438.14] 那不得是这个冠希呀
[440.34] 因为这是普通宝可梦啊
[441.95] 你说冠希要是双威吓也可以啊
[444.23] 威客马拉在威吓
[445.23] 我给你来个双威吓
[446.55] 一个人双威吓挺不错的
[448.77] 要么你说这个冠希特性是暗黑气场
[451.94] 冠C还没出呢
[453.1] 你别着急呀
[454.1] 所以冠C啊大家可以期待一下冠希啊
[456.64] 冠C血量确实低啊
[458.44] 很难受
[459.33] 不过冠希还是不错啊
[460.97] 冠希我特别喜欢的就是冠希啊
[462.65] 冠希
[464.959] 妖精气场啊
[465.919] 妖精系威力乘以4/3
[468.259] 4/3就是1.333333倍啊
[470.99] 然后纯妖精系当然和泽尔尼亚斯一样
[473.47] 人称小泽尔尼亚斯
[475.97] 所以他只打妖精技能
[477.39] 为啥你看一下
[479.39] 乘以我妖精系码乘以本系列五倍
