[0.0] 对面雪天队,这样上啊,雪天队
[3.84] 就是反走,然后反出这个桥龙来
[7.92] 反正大嘴又来啊
[10.16] 最后一只马哥宝帅心
[15.91] 老四样了
[20.87] 雨天四兄弟
[22.43] 宝帅心一拳一个
[29.26] 天气跟他抢都是反出来,因为别人是马哥抢天气
[32.42] 你换的话是换不过来的
[35.99] 对面这大牛拍一个
[38.07] 该反就反呗
[43.5] 他这边要吹桥龙
[46.97] 有没有这可能我这把你冲了
[50.37] 有的兄弟
[58.96] 他近战加上暴风雪啥的嘛
[69.02] 大牛拉的物防60种都直接把他冲了
[72.34] 他马哥下回我们在那个啥
[74.14] 在他可能开激光木啥的
[75.78] 有可能
[77.1] 你开激光木他就开吧
[86.73] 桥龙松一下
[91.66] 他直接把他冲了对吧
[92.9] 我们也比他快呀
[94.58] 大牛拉当场身亡
[95.82] 然后再说啊
[96.78] 然后下回我切雨天再打
[103.86] 按球没问题
[107.34] 没问题
[108.74] 一换一
[111.14] 这个按球保扇金是不是也接不了
[113.1] 哎呀保扇金也接不了
[115.34] 保扇金血量只有137非常的低
[122.58] 那雨天来
[126.61] 他是飞妖精的
[130.37] 那不给我再来一次了吗
[134.0] 顺风
[148.18] 这个飞妖精有没有大晴天
[150.46] 有大晴天的话
[151.62] 那不是坑我雨天吗
[154.78] 需要旅走啊需要旅走
[157.5] 常吃烟炮笑胡
[160.02] 没有问题
[163.27] 不要慌
[169.08] 再来一次吗
[169.72] 啊再来一次啊
[170.4] 我跑得比谁都快
[173.28] 然后这边顺风他又再来一次
[181.83] 钢炮打等会
[186.14] 这干的保笑胡
[196.85] 喜欢再来一次吗
[199.86] 大拙开完顺风就走
[201.02] 现在是三对三
[202.06] 我们一换一了一开始
[221.0] 或者刚才我桥龙应该只打钢炮
[222.88] 压一下需要你的血线的
[224.24] 虽然打不死
[224.76] 但是压个血线
[230.67] 几两期拍住没问题
[232.67] 这边呢
[234.11] 再来一次啊
[234.71] 他老是喜欢再来一次啊
[236.27] 哈哈哈
[237.95] 哎呀
[240.66] 钢炮压他血线
[243.06] 然后这边水裂破白白
[245.74] 大力士啊
[246.46] 不是跟你开玩笑的
[251.9] 飞上军走
[252.98] 那吃钢炮来
[254.34] 跑秀这里必死啊
[255.38] 因为是大力士的一个水裂破
[257.1] 他应该说死了
[259.06] 然后酱血没有问题
[261.22] 那水裂破白白直接敲死
[263.9] 你看掉血速度你也看得出来啊
[265.78] 因为这是大力士的
[269.38] 然后钢炮打一下
[271.66] 这个需要你
[275.38] OK
[275.86] 补个水流喷射就ok了啊
[279.27] 力度还可以啊
[280.27] 在学校里没有耐久
[288.72] 接着钢炮
[289.48] 老子喜欢再来一次别人
[291.72] 水流喷射
[296.25] 所有水流喷射
[297.09] 堪死学校女王室了
[307.52] 保上军就是耐久太差了
[309.12] 你加攻击和速度
[310.28] 那么你的这个血量
[311.48] 只有130起
[312.44] 这个正一方他们差不多啊
[314.08] 比正一方多几点血
[315.28] 那有啥区别
[317.24] 这耐久都快忽略不计了
[319.64] 这个血真的很低
[323.74] 你看乔龙197
[325.5] 那和1307
[327.06] 你看这数字之间就差了
[329.06] 差了不止一个文有我
[330.98] 差两个文有我
[331.7] 有没有
[334.53] 好
[334.77] 这秒了
[339.06] 打残以后
[339.74] 补个水流喷射就死了
[340.82] 这些人
[342.86] 好
[343.06] 分样机什么也没动
[344.14] 我们刚才大走开过顺风
[348.7] 机中要害
[349.3] 反正都是打出气色
[350.3] 皮带没有区别
[355.86] 分样机使用中级吸取
[357.14] 这还是比较少见的
[359.06] 怎么还带这个技能
[366.65] 我放的顺风停止了
[372.05] 冰炫
[373.13] 专打地龙快龙
[378.78] 可惜保塞星不会三圈机
[380.58] 他应该是会三圈机的
[383.9] 因为他已经变成人心组这种
[386.5] 就说你三圈一炫三下
[392.78] 三圈机的话
[393.34] 那保塞星伤害就大幅提高了
[396.22] 你威力
[397.78] 都赶快赶上本系的水裂坡了
[401.22] 打三下120威力
[403.38] 结果最高威力只有一个
[405.62] 只有一个那个啥
[406.38] 只有一个水裂坡
[407.5] 拉了点
[419.5] 像保塞星就给他补近战
[421.82] 啥都给他补上
[422.7] 这没有补
[430.26] 还有钢冰没问题
[431.34] 钢冰
[435.97] 然后等我们开雨天是吧
[438.57] 你等我开雨天
[439.73] 其实我也在等你开雨天
[444.28] 我也大扭了
[445.16] 好啊
[445.52] 他大扭了
[446.2] 我也大扭了
[456.93] 他因为悬雨
[462.02] 哎呀
[462.5] 我们这大嘴欧的话
[465.1] 帮他开雨天
[466.06] 我可不愿意
[467.14] 真的不愿意帮他开雨天
[479.49] 他威后我一下
[490.01] 钓个鱼
[493.53] 如何钓鱼
[494.69] 乔龙钓鱼
[522.94] 钢冰跑下午可以
[528.06] 这是好事
[532.61] 那肯定是要把跑酒给垂了
[543.2] 好
[543.4] 钓鱼来了
[546.16] 我们大扭了
[546.64] 先拍
[547.52] 我们拍钢冰
[548.2] 他就拍住保塞星
[550.04] 那我们这里就不拍
[551.52] 然后让他拍一下乔龙
[552.92] 提高一下物防持久力
[555.24] 提高了持久力
[555.92] 以后他后面大扭拉快龙打不过我们的
[559.83] 是吧
[560.03] 持久力加起来以后就ok了
[562.15] 跑酒直接走
[565.19] 直接切快龙
[570.64] 钢冰的钢冰松一下
[574.63] 钢冰松一下
[575.79] 失败
[577.63] 那他要爆风杀了我那个谁
[579.91] 杀了我这边
[582.11] 我现在清装了
[587.38] 课吧
[589.1] 加流行裙
[590.18] 砸了
[595.46] 钢冰走再接跑小火
[600.78] 啥的马快龙
[601.46] 他也不带雨天来蹭我雨天
[603.7] 烦得很
[604.02] 我就没带雨天
[605.26] 是不是
[605.98] 不可能给他开雨天
[615.59] 直接课破腰带
[616.63] 然后一个流行裙砸过去
[617.91] 百分八十八
[618.79] 砸的死吧
[619.67] 快龙特防比较高
[620.55] 他零圈砸我
[623.62] 就直接砸的是桥龙
[626.18] 那不行
[626.66] 砸桥龙不行
[628.1] 那大扭拉被围和他不管
[629.54] 砸桥龙
[630.3] 那砸不死
[632.62] 那我也砸
[637.91] 我就把他砸死了
[639.67] 因为他多数人破了以后
[641.23] 零圈为力百三了
[642.35] 本戏打本戏
[643.75] 都是龙
[644.35] 大家都是龙
[645.07] 那砸就死了
[647.15] 你快龙来了
[648.27] 还是地龙来了
[649.19] 都是死了
[649.79] 他的马快已经掉了
[652.67] 他上大扭拉
[654.87] OK
[656.31] 大扭拉上的可以
[659.27] 后面我是茶
[664.88] 回个血吧
[672.71] 然后这边其实已经废了
[674.11] 确实已经废了
[677.81] 先保护一下
[678.69] 废了
[679.41] 你看他完全没带雨天是吧
[680.77] 他没带倒水游
[681.69] 可恶
[682.65] 那我没带倒水游
[683.57] 那我不是也没雨天吗
[684.73] 最后都没有雨天
[685.65] 这又是何必的
[687.77] 先拿一口
[689.45] 抗斗果可以接抗斗果
[696.43] 他鸡档
[698.35] 打左边
[700.15] 伸头刺
[701.75] 打桥龙
[702.43] 你伸头打桥龙
[706.33] 这里的话保护一下
[711.4] 后面是大扭拉
[712.6] 大扭拉一下一个
[714.64] 砸一下
[716.2] 剪二也砸
[717.24] 他吹不死我们
[717.96] 因为我是
[720.24] 我是这个抗斗果
[721.12] 对不对
[723.85] 你还不吹我
[725.45] 我抗斗果
[725.97] 我可不怕你
[727.61] 觉得我要走
[728.13] 砸
[729.09] 剪二也要砸
[732.33] 就伤害
[733.33] 哎呀我这伤害太低了
[735.45] 伤害实在是太低了
[737.69] 伸头刺
