[0.12] 魔幻假面喵魔术师宝可梦非常的萌萌哒
[3.3] 对自己的训练家感情强烈
[5.19] 如果看到其他训练家而训练家喜欢其他宝可梦
[9.15] 心情就会变得糟糕
[10.56] 要注意一下
[11.96] 大家好
[13.1] 今天我们来介绍一下
[14.69] 魔幻假面喵的用法和努力值配置
[18.41] 魔幻假面喵这个精灵啊肥长得不得了
[22.34] 人气值可以说是极高
[25.19] 虽然他是才出的第九代的御三家
[28.97] 但是比什么小智大将啊
[32.02] 土台龟啊
[32.86] 什么布里卡隆啊
[34.18] 还有君主蛇啊
[35.32] 这些都是要高很多的
[37.78] 谢喵的玩偶在很早就直接卖完了
[40.36] 那个水煮的网友都卖不出去
[41.86] 但是这个限喵网友都卖完了
[43.82] 简朴的人气可见一斑啊
[47.72] 不是说我这就是你这是贬低前代的宝可梦
[51.08] 不是这样的啊
[52.5] 我也是布里卡隆的粉丝啊
[55.38] 而且我还有布里卡隆玩偶
[56.82] 我就告诉你
[57.75] 你看我布里卡隆玩偶
[59.5] 那还是相当霸气的呀
[61.0] 我还没有姐妹的玩偶
[62.41] 但是我这个人实事求是
[64.86] 这个魔幻GFL人气就是高
[67.05] 设计都是非常之成功
[69.06] 第九代这个设计的宝可梦啊
[71.28] 真的是很成功
[72.36] 还有什么赛博豪啊
[73.38] 赤手霸呀
[74.14] 大家都知道对吧
[75.4] 那是真的是相当不得了
[78.6] 你说珠子是这有点小小的bug
[81.06] 你可以从这方面去抨击他
[83.19] 但是她在设计宝可梦这方面
[87.02] 那个如果你要是抨击
[88.46] 那就是瞎黑了
[89.78] 那真的设计的都很不错
[91.55] 那假面喵二是这样的啊
[93.62] 你必须这么说
[94.7] 我这个人就是客观了
[96.2] 虽然我是布里卡隆粉丝
[97.46] 但我要说布里卡隆他确实不太行啊
[101.86] 确实不太行
[103.66] 当然土台龟这就更不行了
[105.16] 哪怕是小智带他出场相哎他也就那样
[108.02] 啥也不是啊
[110.62] 给你出场机会了
[111.58] 你这个也是人气
[113.08] 也也就那样
[114.46] 我这一般说的其实都还是比较客观了
[117.56] 你要是让王菲说的话
[119.12] 那就NO NO NO
[120.32] 这个精灵完全不得行
[121.58] 我甚至都想不起他的名字
[123.72] 就这样
[125.1] 那世界冠军沃菲
