[13.559] 爹娘
[20.88] 顾南晟
[22.22] 你还是人吗
[27.98] 我的好夫人
[31.42] 等会就到你了
[36.099] 男生娶你不过是因为你家庭富裕
[39.909] 如今顾家已是半斤首富
[42.56] 你瑜伽已经没有用了
[46.94] 难受
[47.86] 送他最后一张
[60.23] 不要怕不要怕
[63.22] 我的好夫人
[65.66] 在你走之前
[66.97] 我告诉你一个秘密
[69.94] 其实啊小时候承诺要娶你的人根本不是
[77.03] 我真没想到这个东西居然有这么大的能力
[85.92] 能让你死心塌地的为我们顾家
[89.76] 当年做过这样
[96.87] 你骗我我的好服了
[100.1] 黄泉路上一路走好
[114.84] 大家为夫家倾尽所有
[118.51] 最后却沦为笑话
[120.58] 被错爱10年的丈夫
[122.96] 我也难得去顾
[125.9] 南晟秦玉娥
[128.03] 我做鬼都不会放过你
[135.36] 今天是虞姝的生日
[137.6] 当年你洞房未入
[139.86] 便被应召出征
[141.78] 路
[143.1] 是虞姝替你照顾了我们顾家老小
[146.31] 顾南晟
[147.48] 秦玉娥
[148.68] 我不是死了吗
[150.18] 怎么又回到司令府了
[151.83] 如今当上了司令
[153.63] 凯旋而归
[154.86] 却带回了这么一个青楼女子
[158.22] 还要以正妻之意大办婚宴
[161.37] 把他升为二姨太
[163.38] 顾南晟
[164.67] 你这是宠妾灭妻吗
[166.83] 我的生日
[169.13] 顾南晟带秦月娥恢复
[172.2] 这不是5年前发生的事吗
[177.0] 竟然回到了过去
[180.179] 老夫人
[182.479] 虽说我已怀有男生骨肉
[185.42] 但既然你们不愿意让我留下
[190.94] 我走便是哟起来
[196.26] 虞姝玉娥陪伴我5年有余
[199.67] 又身怀六甲
[200.9] 你向来贤惠懂事
[202.44] 不如就与他进门吧
[209.34] 是我真没想到这个东西居然有这么大的能力
[218.069] 能让你死心塌地的为我们顾家
[222.14] 当年做这么多
[227.84] 顾南晟
[229.15] 你冒不料阿祥的身份骗我
[231.58] 真心害我性命
[233.8] 如今我重活一世
[235.8] 我会让你和其女儿为前世所有的痛苦付出代价
[242.64] 我答应
[248.359] 下个月初七是个好日子
[250.92] 你和妹妹的婚礼就定在那天吧
[255.0] 届时再给妹妹送三箱聘礼
[257.92] 也算是我妹妹的
[260.8] 看中了这三项
[262.42] 骗你未免太多了吧
[264.06] 男生能娶虞姝为妻
[266.43] 是男生的福气
[268.86] 玉娥给虞姝奉茶
[275.26] 姐姐且慢
[277.92] 普通的茶怎么能配得上妹妹的身份呢
[281.7] 春桃去把春和甜茶盏拿来
[285.27] 是哎哎
[290.9] 姐姐放心
[292.27] 玉儿进门后会效仿娥皇女英
[295.81] 可姐姐共同服侍男士为司令府名言子嗣
[303.26] 你这玉镯
[305.18] 这是男生送我的定情信物
[308.38] 听说是姐姐家的祖传珍宝
[313.0] 只是说了一句喜欢
[314.53] 没事就给了我
[318.94] 这是血玉
[319.8] 琢我于家的祖传珍宝
[321.9] 见他如见我
[325.22] 我会照顾好祖母和母亲的
[327.43] 我等你回来
[331.28] 等我进门
[332.77] 你的所有一切都会像这个玉镯
[336.39] 被我轻而易举的倒数
[338.88] 你的付出不过是替我做嫁衣
[347.04] 上辈子你大婚时命人叫我去祠堂
[350.24] 殿名
[353.06] 我的悲伤因你而起
[355.669] 短剧从你开始
[359.209] 我的好妹妹啊
[361.2] 你无名无分
[362.61] 身怀六甲道
[363.82] 直到任何一个好人家都会被人牵住了
[367.27] 以后进府就让我好好教你规矩吗
[373.3] 先梦茶吧
[375.6] 糖粉刺
[376.56] 我这杯茶应该很烫吧
[379.78] 男性宠我
[381.31] 打破一个茶盏不会怪我
[383.83] 但你出丑
[385.13] 男生绝不会报
[393.0] 姐姐请喝茶
[399.56] 啊妹妹这么不小心啊
[403.56] 这缝啥也能摔着
[405.12] 怎么样
[405.81] 手有没有受伤
[407.08] 放开是吧
[413.18] 母亲你这是干什么
[415.0] 你个妾室要做三项聘礼
[418.18] 还打碎春和天茶盏
[419.98] 他一进来
[421.0] 你就这么败家嗯
[423.6] 我写你心目这事怪我妹妹出自青楼
[427.25] 也没见过春天茶盏啊
[429.77] 本来我也想着用贵重的茶盏
[432.9] 才能表示我们对妹妹的看重
[436.11] 但没想到弄巧成拙呀
[439.72] 是故意的
[442.72] 你别听他说话
[445.24] 这三项聘礼不给了
[447.6] 爱嫁不嫁
[448.98] 哼
[450.15] 顾南晟的确聪明
[451.62] 但顾南晟的母亲赵梅娘可是只认钱的新娘
[455.67] 我作茧自缚
[457.98] 是母亲西西怒
[460.47] 这样这三箱聘礼走走过场
[463.34] 也给夫君撑着场面
[465.29] 回头咱们再拿回来便是了
[469.68] 妹妹
[470.42] 你这手上的血玉镯呀
[472.04] 很是贵重
[472.91] 今天犯了错
[474.08] 把它摘下来献给母亲
[476.27] 也当给母亲赔
[478.36] 不是了
[478.9] 可好
[479.08] 这还真是送我的一哥
[483.7] 把镯子摘下来
[489.98] 带上
[494.64] 虞姝啊
[495.71] 今日委屈你了啊
[497.6] 你记着只要有我在
[500.36] 你就是司令府的主母
[502.56] 难受的亲话说得这般漂亮
[506.04] 顾南晟折磨我日
[507.72] 你不也见死不救
[510.78] 是金娥
[513.42] 这只是开胃小菜
[514.98] 等你满心欢喜准备大婚时
[517.17] 我会在你身为女人最幸福的那天
[519.919] 亲手将你推入痛苦的深渊
[523.98] 好
[530.4] 了
[530.88] 别哭了
[532.14] 我问过大夫
[533.1] 他说比付中的胎儿没什么大碍的男生
[538.32] 你什么时候才把那个女人赶走啊
[543.64] 虞姝呢
[544.74] 她是世家之女
[546.24] 而渔家家大业大
[548.46] 我们顾家还需要靠他们帮衬
[551.58] 所以好了
[554.73] 你别担心
[556.28] 我答应你固态的读
[558.56] 女主迟早都是你的
[561.32] 你
[565.64] 余叔看我不收拾
[573.5] 嗯你听听这声青天白日的
[578.25] 真不知道羞耻
[579.36] 这是司令府
[580.65] 又不是什么高端妓院
[588.34] 这
[592.26] 您瞧瞧这活妹子来了
[594.64] 不过3日
[595.48] 就这胭脂水粉珠宝首饰就花钱在司令部的
[598.78] 但不要个月的开销
[600.72] 这这也太欺负人了吧
[606.94] 阿翔哥
[608.13] 我们以后还会再见面吗
[612.22] 这块玉佩送给你
[614.43] 我会来接你的
[616.48] 我们一辈子在一起
[628.52] 阿湘等等
[631.24] 我离开顾家牢笼
[632.81] 我回来娶你
[653.51] 夫人您
[654.85] 您这个要出门了
[656.29] 我要去见一位能让我翻盘的人嗯
[664.1] 怎么感觉变了
[673.38] 呀小美人哥有事找你走吧
[676.91] 怎么样
[677.81] 快点走吧
[678.74] 小美人哥哥走了
[679.88] 哎呦呵
[680.78] 来了来了来了
[681.78] 妈了个呀
[684.06] 这些可都是我们云老板从各大财主家搜过来的
[689.04] 尤其是这款前朝古物
[692.52] 价值5000
[693.84] 大家准备关于老板如此没有肉吃啊
[697.12] 少帅
[698.37] 这是您腾哥跟你的婚前主体的
[702.48] 我现在是连帮帮主再叫的时候再说
[710.74] 起个妾还兴师动众
[713.44] 正好他抢我的玉佩
[716.79] 是时候该拿回来
[729.38] 嫂子啊
[733.6] 臭娘们
[734.34] 咋了你了
[735.18] 敢打老子
[736.26] 老子不弄死你了
[737.58] 你们哪来的云老板的地盘
[739.56] 你敢说不活了
[742.18] 徐女主是蓝金莲帮帮主顾云
[746.46] 不允许听闻他烧杀抢夺
[749.07] 无恶不作
[750.57] 有本经少帅什么连司令都拿
[754.56] 他没办法用
[757.2] 银老板用老板饶命
[758.67] 小的多
[759.18] 有多少帅气
[759.72] 永乐排饶命的云老板把他们俩拖出去宰了
[765.52] 是带走女二
[766.96] 云老板表面有老板早就不敢了
[769.28] 熊老板嗯嗯
[774.58] 多谢云老板嗯
[776.5] 嫂嫂
[777.58] 我这个花瓶可价值不菲啊
[780.04] 你打算怎么赔偿我
[783.22] 顾南晟堂弟顾昀浪荡轻浮
[786.12] 但不知为何身边总有大人物围绕哦
[792.7] 你这花瓶是假的
[796.63] 小姑娘
[798.08] 你要是赔不起啊
[799.46] 就直说嘛
[800.5] 这花瓶可是咱们云老板
[802.87] 从云阳最好的索额家刮来的
