[0.44] 大家好
[1] 今天为大家带来
[1.86] 2026年多伦多阿赛的比赛解说
[5.06] 现在是1月份
[6.08] 他的比赛规则是全国普双啊
[8.64] 你看这些精灵就没有一级神
[10.68] 什么密勒顿啊
[11.64] 全国普双你就记住一句话
[14.43] 虎鲸熊抱碰发股老牌风云何顿孤啊
[19.48] 打来打去就这么些人呐
[20.9] 这个是2024年啊
[23.02] 2024年规则F的一个
[25.41] 这个普装的使用率情况啊
[27.93] 然后看一下这一次多伦多阿赛
[30.79] 使用率排在前12的
[32.47] 还是这些
[33.39] 就是说现在他你看40%几
[36.05] 40几
[36.37] 30几
[37.09] 没有一个特别明显的领先的
[40.77] 六七十%这种啊
[42.5] 全国普双打六打球
[43.54] 这些就是咆哮虎啊
[45.23] 他我们说了
[46.47] 他现在不像以前那样特别的高
[48.87] 大家都差不多三四十
[50.19] 这些都是正常的
[50.99] 是不是啊啊最高的这一发49%啊
[53.69] 大概就是这些人这个被缪非常的厉害
[56.97] 你也看到还有DLC出那些普通宝可梦
[60.01] 什么路边的艾斯豚呐
[61.39] 超限珠啊
[62.27] 裂腿黄啊
[63.05] 我给你数很多
[63.77] 那些的说难听点就凑图捡的嘛
[66.45] 就是说他们根本就一点机会都没有
[68.84] 你这出出这种批量的570种族的
[71.38] 我且不说你那旧极异兽还没过千呢
[74] 你旧极兽过千了
[74.96] 什么紫玉剑
[75.72] 铁火辉夜这些也不差差呀
[77.48] 是不是啊
[77.96] 这不弱的啊
[78.72] 非常强啊
[79.54] 那这个基本上就是这些神兽大战了啊
[82.98] 哎这些普通宝可梦啊
[84.36] 就那老牌的盾菇
[85.44] 这些还是可以的啊
[86.52] 很多你看都都根本吃不上饭呢
[89.4] 没办法啊
[90.22] 他以后再出个批量生产的
[91.82] 那你说这些普通宝可梦又该何去何从呢
[94.54] 都来凑图捡得了
[95.82] 干脆比赛从第二轮开始啊
[98.51] 还是这样
[99.13] 第一天八轮
[100.12] 然后第二天几轮就是淘汰赛
[102.76] 他第一轮一般都空过来
[104.36] 从第二轮开始
[105.36] 对面阿里斯戈麦斯是洲际锦标赛冠军呐
[108.419] 我方拉斐尔这边是一个什么队
[110.379] 是个克雷的空间队啊
[111.919] 对面的话什么队
[114.099] 虎心熊抱
[116.05] 云河谷
[117.17] 是不是啊
[117.87] 嗯虎心熊抱
[118.99] 就那么标准的这么几只啊
[120.99] 你把刚才我说的那几个
