[77.46] 各位朋友大家好
[78.34] 我是AG
[79.2] 今天给大家分享我打到冠军级用的灭歌队
[82.46] 这个队中途也是改了很多次啊
[84.88] 鼠鼠最开始带的愤怒门牙
[86.76] 后面换成了帮助
[87.98] 这是努力值分配耿鬼和斗罗
[90.48] 努力值基本上没法改的
[92.38] 其他努力值的话你可以随便调整
[94.56] 反正都是加SB和分双防
[96.72] 鼠鼠的速度是快过地龙两点
[99.02] 方便再来一次
[100.04] 他我们直接实战看一下怎么灭哥
[103.08] 大家在玩宝可梦冠军对战的时候
[105.12] 如果担心掉线啥的
[106.32] 可以试试UU加速器
[107.69] U加速器是很多人在用的加速器
[109.93] 网易大厂口碑效果双保障
[112.11] 平时遇到ESHOP商店进不去
[113.93] 游戏下载慢的问题
[115.25] U加速器也都能解决
[117.07] 另外U加速器有手机
[118.73] 电脑加速盒
[119.71] 多种加速方式
[120.85] 让你无论在家里还是外出
[122.69] 走到哪玩到哪
[123.93] 赶紧试试吧
[125.22] 对面是个雨天队
[126.74] 这个雨天队的话有一个马达快龙啊
[129.5] 非常的麻烦
[130.52] 马快龙的火力还是非常的高的
[133.28] 那我们直接首发耿鬼咆哮虎
[136.04] 后排的话得有这个
[138.34] 我们就不给他开雨天了啊
[141.18] 后排的话鼠鼠和查这里斗龙好不好
[144.62] 斗龙的话他有花D啊
[145.9] 他可能会选花D啊
[147.3] 我倒是挺希望你选花D的
[149.01] 因为这个快龙的火力更加高一些啊
[151.45] 比较麻烦
[152.31] 尤其是这个暴风流星群这个力度非常的高
[155.95] 大嘴鸥的暴风和快龙暴风
[157.77] 对茶来说都是比较麻烦
[159.35] 但是一般遇到雨天
[160.35] 我们就上这四只啊
[161.52] 因为咆哮是抗水果的
[163.3] 所以并不担心它的大嘴鸥怎么样啊
[166.09] 他可能看到我们这边没有天气
[167.81] 可以直接首发大嘴鸥桥龙啊
[169.93] 当他没有桥龙啊
[171.05] 大嘴鸥快龙或大嘴又悬于
[172.93] 这些都是不用担心的啊
[174.37] 你说大嘴又有悬鱼
[175.25] 这不把你冲死了吗
[176.37] 是不可能冲死的
[177.65] 如果手发大轴又有悬疑
[179.05] 我们拍出大嘴
[180.079] 直接打死一位学员就可以了
[181.959] 呃虽然他这个有雨天
[183.599] 但是我们威吓一下
[184.699] 然后他的这个冲动啊是杀不掉耿鬼的
[188.11] 他违禁的冲动适应力的话也没有关系啊
[191.269] 你可以试一下
[192.389] 冲嘛一定冲不死耿鬼
[193.889] 虽然我们会被打残
[195.109] 但是可以干掉他一个人头
[196.549] 这样的话方便一点
[201] 对面首发的是幽尾玄鱼和地龙
[204] 那威吓一下
[204.92] 啥也不是啊
[205.94] 这里我们直接拍地龙
[207.6] 然后暗影球打死幽尾玄鱼
