[0.0] 能不能帮我测试下帕尼尼减肥法的效果
[2.58] 我会让我全寝室都给你点赞的
[5.08] 嗯刚好最近吃的有点放纵
[7.7] 咱们教练是三天帕尼尼
[9.24] 但体重会是变化
[10.76] 中午11.40分
[12.14] 这里啊就是我们这三天的口粮了
[14.42] 这里啊一共24个
[15.6] 咱们一共是花了八十四
[17.48] 平均下来只要三块五个
[19.79] 汤里面大概就是这样的身体状态
[21.91] 一块鸡肉
[22.87] 一片芝士
[23.69] 加上外面的面包皮儿
[25.3] 咱们今天早饭就简单吃这么三个
[27.52] 其他都放到冰箱里面冷冻起来
[29.64] 小尝一口
[32.58] 嗯它里面的鸡肉跟原味鸡块的调味是一样的
[36.88] 虽然尺寸小
[38.02] 但是味道还是不错的
[39.46] 这么一个大概是277大卡
[41.3] 我大概的计划就是一天吃八个左右
[43.64] 具体啊就看它的饱腹感怎么样了
[45.96] 先不管了
[46.64] 饱腹感怎么样
[47.56] 肝是真肝啊
[48.68] 包括我呢喝个水饱也是饱
[51.29] 下午02:17分练前餐
[53.89] 还是一个帕尼尼
[54.87] 我还点了一杯抹茶
[56.17] 补充一下膳食纤维
[57.54] 吃完就去练个背
[59.0] 今天的训练状态感觉还是很不错的
[60.98] 目前感觉切良好
[62.44] 练完咱们再来半个小时的有氧到家
[64.9] 六点钟练后餐跟晚餐咱们就一起吃了
[67.72] 我只能说这个量吧好像有点少
[70.56] 我们来给它稍微的加工一下
[72.54] 扯成这样的状态
[73.78] 是不是瞬间感觉就变多了
[77.0] 嗯总量没变
[78.8] 但是看着这一盘满足感瞬间就变强了
[81.94] 那么再搭配上一部好看的动漫
[84.24] 那真的是无敌了
[86.44] 早上起床
[87.2] 咱们先是做了半个小时的有氧
[88.8] 11:40分到家
[90.32] 这里啊是四个加热过的帕尼尼
[92.38] 这一加热它的芝士味会更明显一点
[94.9] 肌肉水润水润的
[96.26] 因为今天要练腿啊
[97.46] 所以我就把早餐和练前餐一起吃了
[99.8] 吃完休息会儿
[100.9] 咱们就开始痛苦的练腿日
[102.68] 说真的腿这个东西啊真的有人爱练吗
[106.24] 晚上七点钟到家
[107.84] 这个东西啊已经激不起我的食欲了
[110.08] 咱们把它成双成对的叠在一起啊
[112.0] 看看能不能产生一点新鲜感
[113.68] 哇嘶嗯就像是原本是普通汉堡
[118.8] 现在吃的是那个巨无霸一样
[121.52] 嗯死贵
[122.64] 味道还是那个味道
[123.86] 从营养方面分析啊
[125.04] 这么一个除了维生素少了一点
[126.82] 其他都还是不错的
[127.98] 所以我这两天也会搭配一点青汁
[130.0] 或者抹茶粉来吃它
[131.52] 早点睡觉
[132.44] 抑制食欲
[133.58] 早了一得later
[135.36] 现在是挑战第三天到05:30
[137.24] 为了让时间过得快一点
[138.64] 我就睡了个懒觉
[139.78] 刚刚起床去健身房简单练了个胸
[141.86] 这么三天吃下来
[142.9] 我感觉训练的状态还是挺好的
[144.86] 这里啊我就先吃四个帕尼尼亚
[146.62] 作为练后补充
[147.5] 从食物数据方面来看
[148.84] 一天吃八个帕尼尼亚
[150.16] 我的热量缺口大概是在300大卡左右
[152.42] 2216大卡
[153.84] 相当于汉堡王的两个三层皇堡
[156.5] 相比较之下
[158.26] 我好像更想吃汉堡王
[160.34] 但是再看看价格
[161.78] 这个性价比是真高啊
[163.5] 剩下的三个咱们就边看电视边慢慢吃啊
[166.3] 咱们期待一下明天的结果
[168.78] Thousand years later
[170.86] 来看一下挑战题
[173.32] 诶诶诶93.4km才掉了这么一点
